day,month,year,text
3,4,1945,już podaje trzeci zero czwarty dziewiętnaście czterdzieści pięć
3,2,2091,to będzie trzeciego lutego dwadzieścia dziewięćdziesiąt jeden
6,2,1911,yyyy szóstego lutego tysiąc dziewięćset jedenasty
12,4,1975,no to tak dwunastego kwietnia dziewiętnaście siedemdziesiąt pięć
11,12,2088,hmmm jedenasty dwunasty dwa tysiące osiemdziesiąty ósmy
24,10,1999,to będzie dwudziestego czwartego dziesiątego  dziewięć dziewięć
9,4,1999,yyyy dziewiąty zero czwarty  dziewięć dziewięć
3,10,2078,dobrze, to tak trzeciego dziesiątego dwa tysiące siedemdziesiątego ósmego
7,1,2075,to znaczy tak siódmy styczeń dwa tysiące siedemdziesiątego piątego
9,12,1999,dobrze, to tak dziewiąty dwunastego  dziewięć dziewięć
13,1,2045, trzynastego stycznia dwa tysiące czterdziesty piąty
18,1,2078,to będzie osiemnastego stycznia dwadzieścia siedemdziesiąt osiem
3,12,2011, trzeciego dwunastego dwadzieścia jedenaście
24,4,1999,zatem dwudziestego czwartego zero czwartego dziewiętnaście dziewięćdziesiąt dziewięć
9,12,2045, dziewiąty grudzień dwa tysiące czterdziesty piąty
9,1,2088,dobrze, to tak dziewiątego zero pierwszego dwadzieścia osiemdziesiąt osiem
7,12,2078,to będzie siódmy grudzień dwa tysiące siedemdziesiąty ósmy
6,7,2045,dobrze, to tak szóstego lipca dwa tysiące czterdziestego piątego
6,7,1975,no to tak szósty lipiec dziewiętnaście siedemdziesiąt pięć
5,10,1911,zatem piąty października  jedenastego
5,7,1975,no to tak piąty zero siódmy tysiąc dziewięćset siedemdziesiątego piątego
18,1,2045,no to tak osiemnastego zero pierwszego dwa tysiące czterdziestego piątego
21,12,1911,zatem dwudziesty pierwszy dwunastego  jedenastego
24,2,2011,to znaczy tak dwudziesty czwarty zero drugi dwa tysiące jedenastego
3,10,1988,yyyy trzeci październik tysiąc dziewięćset osiemdziesiąty ósmy
7,7,2088,no to tak siódmy zero siódmy dwa tysiące osiemdziesiąty ósmy
28,2,1975,już podaje dwudziestego ósmego zero drugiego dziewiętnaście siedemdziesiąt pięć
12,4,2078,hmmm dwunastego zero czwartego dwa tysiące siedemdziesiąty ósmy
5,10,1911,to znaczy tak piątego dziesiątego  jedenastego
24,4,1988,już podaje dwudziestego czwartego kwietnia dziewiętnaście osiemdziesiąt osiem
5,10,1978,to będzie piąty październik dziewiętnaście siedemdziesiąt osiem
21,10,2011,em dwudziesty pierwszy października dwadzieścia jedenaście
3,10,2088,dobrze, to tak trzeciego października dwadzieścia osiemdziesiąt osiem
18,1,1988,to będzie osiemnasty styczeń tysiąc dziewięćset osiemdziesiąt osiem
3,12,2011,już podaje trzeci dwunastego dwa tysiące jedenasty
10,7,1988,hmmm dziesiątego lipca  osiem osiem
12,12,1988,hmmm dwunasty grudnia  osiem osiem
21,1,1975,dobrze, to tak dwudziesty pierwszy zero pierwszy  siedem pięć
